window_start,window_end,price_velocity,volume_surge_z,trade_frequency,spread_anomaly_score,forest_severity,autoencoder_severity,combined_severity
2026-09-14 15:17:00+00:00,2026-09-14 15:18:00+00:00,0.9666666666666667,3.8947410144941887,5437,-1.2023378435294934,65.21266003941032,16.56347623673169,40.888068138071006
2026-09-14 15:18:00+00:00,2026-09-14 15:19:00+00:00,-0.7269999999999224,-0.13538241843491855,2537,0.9431726387190853,8.382298628849721,1.830097935020765,5.106198281935243
2026-09-14 15:19:00+00:00,2026-09-14 15:20:00+00:00,1.2120000000000195,-0.24920993409914327,2742,-1.424245418899669,30.3755327815526,7.7719004005774135,19.073716591065008
2026-09-14 15:20:00+00:00,2026-09-14 15:21:00+00:00,1.2910000000001067,0.8677871498814511,5697,-0.6309045495954259,44.55346729389727,11.924615025867972,28.23904115988262
2026-09-14 15:21:00+00:00,2026-09-14 15:22:00+00:00,1.4621666666668414,0.6906404744060849,6913,-0.8771505987742267,55.96028163572977,18.47131544823398,37.215798541981876
2026-09-14 15:22:00+00:00,2026-09-14 15:23:00+00:00,1.194833333333372,7.420252462112013,13871,-0.38527453582863924,100.00000000000001,100.0,100.0
2026-09-14 15:23:00+00:00,2026-09-14 15:24:00+00:00,1.625,2.7339232914829483,8178,-0.5127665846691556,73.77352225161057,30.060103507947932,51.91681287977925
2026-09-14 15:24:00+00:00,2026-09-14 15:25:00+00:00,-0.5946666666665502,0.8410854037044223,6553,0.5524421987436733,47.874388897531375,11.287725604686962,29.58105725110917
2026-09-14 15:25:00+00:00,2026-09-14 15:26:00+00:00,-1.463666666666783,-0.10394477045317875,4790,1.0780954381965775,55.573704922167245,11.910007425899348,33.741856174033295
2026-09-14 15:26:00+00:00,2026-09-14 15:27:00+00:00,0.40016666666657935,-0.4347413873500501,2768,-0.37109792409319536,10.210715816334659,1.1369109910322868,5.673813403683473
2026-09-14 15:27:00+00:00,2026-09-14 15:28:00+00:00,-0.19983333333342065,-0.29275625741932154,3265,0.12827393880990826,10.591650564892745,1.1147860474739555,5.853218306183351
2026-09-14 15:28:00+00:00,2026-09-14 15:29:00+00:00,-0.6726666666666764,0.5185254254825581,2169,0.9978289033971535,12.45900805787721,1.6040899591314026,7.031549008504306
2026-09-14 15:29:00+00:00,2026-09-14 15:30:00+00:00,-0.7344999999998739,-0.4673120541857665,3061,0.8645834818549697,13.368137624908893,2.3989642368558393,7.883550930882366
2026-09-14 15:30:00+00:00,2026-09-14 15:31:00+00:00,-0.1680000000000291,-0.5835475368126306,3092,0.3022066024765886,9.499490944699716,1.0462317020590173,5.272861323379367
2026-09-14 15:31:00+00:00,2026-09-14 15:32:00+00:00,-0.6289999999998448,-0.8440340851096987,1843,1.7785478496352165,24.804012732478157,1.1876693183058895,12.995841025392023
2026-09-14 15:32:00+00:00,2026-09-14 15:33:00+00:00,-0.8621666666668413,-0.4498553971586297,2690,1.228380366011359,16.842769877008823,2.6246918809917497,9.733730879000287
2026-09-14 15:33:00+00:00,2026-09-14 15:34:00+00:00,1.1666666666666667,-0.13633434215197054,2642,-1.3005747436933721,28.954914768094508,7.033333962800361,17.994124365447433
2026-09-14 15:34:00+00:00,2026-09-14 15:35:00+00:00,0.03333333333333333,-0.6890274465594289,3103,-0.10548827447392063,9.85241800129755,1.3543706266664168,5.603394313981983
2026-09-14 15:35:00+00:00,2026-09-14 15:36:00+00:00,-1.233166666666754,-0.568653566261611,2592,1.507876349638097,34.4432297257773,5.530601857653624,19.98691579171546
2026-09-14 15:36:00+00:00,2026-09-14 15:37:00+00:00,0.6791666666666667,-0.7951789684183512,1628,-1.6196224880525762,11.4639235631534,2.4312253538052104,6.9475744584793055
2026-09-14 15:37:00+00:00,2026-09-14 15:38:00+00:00,0.6161666666666861,-0.580436186640652,2405,-1.430811166431165,9.901022835534022,2.441907195248538,6.17146501539128
2026-09-14 15:38:00+00:00,2026-09-14 15:39:00+00:00,-0.7286666666666861,-0.1941531675300358,1840,0.8628209682331545,7.000773061372669,2.0098058721934318,4.505289466783051
2026-09-14 15:39:00+00:00,2026-09-14 15:40:00+00:00,-0.049333333333440046,-0.88779066867616,536,1.3805073921194375,16.318059799726548,0.7280745741306118,8.52306718692858
2026-09-14 15:40:00+00:00,2026-09-14 15:41:00+00:00,-0.42083333333333334,-0.3805125193387269,3403,0.7956666316131733,13.202701963448526,1.4764195675084704,7.339560765478498
2026-09-14 15:41:00+00:00,2026-09-14 15:42:00+00:00,0.11583333333328483,-0.5411957962687515,2205,-0.2721851005686189,0.900609633960137,0.665849462818078,0.7832295483891075
2026-09-14 15:42:00+00:00,2026-09-14 15:43:00+00:00,-0.5386666666667831,-0.4587133803612666,2377,0.6553632371885052,4.159577363956888,1.2394464064700117,2.69951188521345
2026-09-14 15:43:00+00:00,2026-09-14 15:44:00+00:00,-0.061833333333197515,-0.7209148160378364,680,0.25952931791008715,0.213336781638521,0.04809722170576715,0.13071700167214406
2026-09-14 15:44:00+00:00,2026-09-14 15:45:00+00:00,0.3844999999998739,-0.5175739878127589,1551,-1.2185149206314598,1.035964588499258,0.7035755155407994,0.8697700520200288
2026-09-14 15:45:00+00:00,2026-09-14 15:46:00+00:00,0.4743333333331975,-0.575003288825588,2071,-0.9262868660713584,6.501164079118261,1.090022672401973,3.7955933757601175
2026-09-14 15:46:00+00:00,2026-09-14 15:47:00+00:00,-0.5375,-0.5837288871305896,1871,1.1191974192615564,4.858007926749401,1.0840053907471001,2.9710066587482507
2026-09-14 15:47:00+00:00,2026-09-14 15:48:00+00:00,-0.4008333333331393,-0.3312328914937997,1884,0.7242217066005773,2.1353635156604227,0.6854368863119152,1.410400200986169
2026-09-14 15:48:00+00:00,2026-09-14 15:49:00+00:00,0.3508333333331393,-0.6380279450247298,954,-1.4730079386505157,4.3186738825304225,0.6371590589751744,2.4779164707527985
